Id	Name	Description	Type	Rarity	DlcVersion	ImgPath	ExchangeInPool	ExchangeOutPools	IsUpgrade	MutexGroup	ExtraResTypes	ExtraResCounts	备注
1001	大炎通宝	普通又空白，什么也没有	Balance	1		rogue_5_copper_B_01$0.png	1	0					
1002	西廉贞	投出时，精英及领袖敌人的生命值、攻击力+10%，在险路恶敌及岁兽残识中攻击力、生命值额外+20％	Risk	1		rogue_5_copper_B_02$0.png	1	0					
1003	北刺面	投出时，精英及领袖敌人的移动速度+10%，在险路恶敌及岁兽残识中移动速度额外+20％	Risk	1		rogue_5_copper_B_03$0.png	1	0					
1004	南见山	投出时，精英及领袖敌人的防御力+15%，在险路恶敌及岁兽残识中防御力额外+35％	Risk	1		rogue_5_copper_B_04$0.png	1	0					
1005	东缺角	投出时，精英及领袖敌人的法术抗性+10，在险路恶敌及岁兽残识中法术抗性额外+20	Risk	1		rogue_5_copper_B_05$0.png	1	0					
1006	奇土生金	投出时，立即获得源石锭+4（下次投钱前变化为大炎通宝）	Balance	1		rogue_5_copper_B_06$0.png	1	1					
1007	水生木护	投出时，立即获得护盾值+2（下次投钱前变化为大炎通宝）	Balance	1		rogue_5_copper_B_07$0.png	1	1					
1008	金寒水衍	投出时，立即获得希望+1（下次投钱前变化为大炎通宝）	Balance	1		rogue_5_copper_B_08$0.png	1	1					
1009	火灼土沃	投出时，立即获得目标生命上限+1（下次投钱前变化为大炎通宝）	Flower	1		rogue_5_copper_B_09$0.png	1	1					
1010	投木炎延	投出时，所有敌人最大生命值-30%（下次投钱前变化为大炎通宝）	Balance	1		rogue_5_copper_B_10$0.png	1	1					
2001	苦寒	投出时，使战斗中位于最右边一列化境地块上的干员攻击力+60%	Balance	1		rogue_5_copper_F_01$0.png	1	1					
2002	匪风	投出时，使战斗中位于最右边一列化境地块上的干员攻击速度+60	Balance	1		rogue_5_copper_F_02$0.png	1	1					
2003	霖雨	投出时，使战斗中位于最右边一列化境地块上的干员生命值+100%	Balance	1		rogue_5_copper_F_03$0.png	1	1					
2004	霹雳	投出时，使战斗中位于最右边一列化境地块上的干员防御力+100%	Balance	1		rogue_5_copper_F_04$0.png	1	1					
2005	旱热	投出时，使战斗中位于最左边一列化境地块上的干员防御力+100%	Balance	1		rogue_5_copper_F_05$0.png	1	1					
2006	虹霓	投出时，使战斗中位于最左边一列化境地块上的干员攻击速度+60	Balance	1		rogue_5_copper_F_06$0.png	1	1					
2007	雾凇	投出时，使战斗中位于最左边一列化境地块上的干员生命值+100%	Balance	1		rogue_5_copper_F_07$0.png	1	1					
2008	霜雪	投出时，使战斗中位于最左边一列化境地块上的干员攻击力+60%	Balance	1		rogue_5_copper_F_08$0.png	1	1					
2009	驰道长	投出时，使战斗中位于最左边和最右边一列化境地块上的干员攻击力+30%，攻击速度+30	Flower	1		rogue_5_copper_F_09$0.png	1	2					
2010	武人之争	投出时，所有我方单位的攻击力+20%，每额外投出一次，所有我方单位的攻击力额外+20％（最多叠加两次）	Flower	1		rogue_5_copper_F_10$0.png	1	3					
2011	百业俱兴	投出时，所有我方单位的生命值+25%，每额外投出一次，所有我方单位的生命值额外+25％（最多叠加三次）	Flower	1		rogue_5_copper_F_11$0.png	1	3					
2012	寒窗志	投出时，所有我方干员的防御力+200，但部署后冻结5秒。每额外投出一次，所有我方干员的防御力额外+100	Risk	1		rogue_5_copper_F_12$0.png	1	2					
2013	志欲遂	投出时，所有我方单位的攻击速度+80，每额外投出一次，攻击速度加成效果-20（最多减少至0）	Balance	1		rogue_5_copper_F_13$0.png	1	2					
